City,Map,Size,Cathedral,University,Blacksmith,Swordsmith,Armorer,Bowyer,Artificer,Clothmake,Slum,Leihhaus
Aachen,A5,5,YES,no,no,28,27,26,36,30,no,YES
Augsburg,D7,6,YES,no,no,27,29,24,29,29,YES,YES
Bamberg,D6,5,YES,no,no,29,27,25,25,25,YES,no
Basel,A8,5,YES,YES,no,26,31,26,29,28,YES,YES
Berlin,E3,4,no,no,24,no,no,24,23,23,no,no
Brandenburg,E4,4,YES,no,no,29,25,24,25,26,YES,YES
Braunschweig,C4,5,YES,no,no,24,23,22,25,25,YES,YES
Bremen,C3,6,YES,no,no,25,27,29,27,27,YES,YES
Breslau,G5,5,YES,no,no,25,28,32,25,26,YES,YES
Bromberg,H3,5,no,no,20,no,no,no,22,22,no,no
Brünn,G7,4,YES,no,no,24,22,25,24,25,YES,no
Bürglitz,E6,4,no,no,no,32,25,23,25,23,no,no
Danzig,H1,7,YES,no,no,26,25,25,29,26,YES,YES
Deventer,A3,4,no,no,23,no,no,no,25,38,no,no
Dortmund,B4,4,no,no,24,no,no,22,24,22,no,YES
Dresden,E5,6,YES,no,no,26,34,25,39,27,YES,YES
Duisberg,A4,5,no,no,no,29,26,24,25,24,YES,YES
Elburg,A3,5,no,no,23,no,no,36,25,35,no,no
Erfurt,D5,5,YES,YES,25,no,no,24,29,25,YES,YES
Flensburg,C1,3,no,no,22,no,no,no,21,23,no,no
Frankfurt am Main,B6,5,YES,no,no,24,27,24,26,24,YES,YES
Frankfurt an der Oder,F4,5,YES,no,no,27,27,28,27,27,YES,YES
Freiberg,E5,5,YES,YES,27,no,no,no,33,23,YES,YES
Freiberg-im-Breisgau,B8,5,YES,YES,no,36,24,24,24,23,no,no
Fulda,C5,4,no,no,22,no,no,no,24,24,YES,YES
Fürstenberg,E3,4,no,no,23,no,no,no,23,23,no,no
Görlitz,F5,5,no,no,22,no,25,no,23,21,no,no
Goslar,C4,4,YES,no,22,no,no,no,25,24,no,no
Graz,G8,5,YES,no,no,24,29,26,24,25,YES,no
Groningen,A2,3,no,no,19,no,no,25,20,25,no,YES
Hall,C7,4,no,no,22,no,no,24,23,21,no,no
Hamburg,C2,7,YES,no,no,27,27,31,28,31,YES,YES
Hannover,C3,5,no,no,no,27,24,24,25,25,YES,YES
Heidelberg,B6,5,no,YES,no,26,23,23,25,25,YES,YES
Kassel,C5,5,no,no,no,27,25,24,27,26,YES,YES
Kempen,A4,4,no,no,24,no,no,no,25,25,YES,YES
Koblenz,B5,4,no,no,no,29,25,25,26,27,YES,YES
Köln,A5,8,YES,YES,no,35,28,27,38,31,YES,YES
Konstanz,B8,4,YES,no,22,no,no,no,24,27,YES,YES
Kufstein,D8,4,no,no,26,31,no,no,32,22,no,no
Kuttenberg,F6,3,no,no,26,no,no,20,34,22,YES,YES
Leer,B2,3,no,no,23,no,no,28,23,26,no,no
Leipzig,E4,6,YES,YES,no,29,29,28,37,29,YES,YES
Linz,F7,4,no,no,22,no,no,no,24,24,no,no
Lübeck,D2,7,YES,no,no,28,28,25,29,28,YES,YES
Lüneburg,C3,5,no,no,24,no,no,no,25,23,YES,YES
Luxemburg,A6,5,YES,no,no,26,28,23,27,31,YES,YES
Magdeburg,D4,5,YES,no,no,34,28,26,28,26,YES,YES
Mainz,B6,6,YES,no,no,27,27,24,27,26,YES,YES
Marienburg,H2,5,no,no,no,30,33,26,28,28,no,no
München,D8,6,YES,no,no,29,25,23,25,26,YES,YES
Münster,B4,5,YES,no,no,25,25,23,25,23,YES,no
Nancy,A7,5,no,no,no,24,36,24,24,23,YES,no
Naskskov,D1,3,no,no,21,30,no,no,21,21,no,no
Nördlingen,C7,5,YES,no,no,33,23,24,27,25,YES,YES
Nürnberg,D6,7,no,no,no,37,37,25,35,27,no,no
Nymwegen,A4,4,no,no,23,no,no,no,34,27,no,no
Olmütz,H6,4,no,no,no,23,21,37,23,25,YES,no
Osnabrück,B3,5,YES,no,no,24,27,23,25,26,YES,YES
Paderborn,B4,4,YES,no,no,38,23,22,26,25,no,no
Passau,E7,5,no,no,no,23,24,24,24,26,YES,YES
Posen,G3,4,no,no,no,25,26,33,25,27,YES,no
Prag,F6,6,YES,YES,no,28,28,27,29,30,YES,YES
Prenzlau,E3,5,no,no,no,24,24,23,24,23,YES,no
Pressburg,H8,5,YES,YES,no,25,25,35,24,28,YES,YES
Regensburg,D7,6,YES,no,no,25,26,25,28,26,YES,no
Rostock,D2,5,no,YES,no,25,24,23,27,25,YES,YES
Rottweil,B7,4,no,no,22,no,no,28,23,22,no,YES
Salzburg,E8,5,YES,no,no,24,32,27,26,27,YES,YES
Schleswig,C1,5,YES,no,no,24,25,23,25,24,YES,no
Soest,B4,3,YES,no,no,22,35,21,23,21,no,YES
Speyer,B6,5,YES,no,no,24,30,24,25,25,YES,YES
St.Joachimsthal,E5,3,no,no,24,no,no,no,31,22,no,YES
Stettin,F2,3,no,no,no,24,24,27,23,22,YES,YES
Steyr,F8,4,no,no,22,29,no,25,24,23,YES,no
Stralsund,E2,5,no,no,23,no,no,no,23,22,YES,YES
Strassburg,B7,7,YES,no,no,27,27,25,25,27,YES,YES
Stuttgart,C7,5,YES,no,no,25,33,26,24,26,YES,YES
Teschen,H6,4,no,no,23,no,no,39,22,24,YES,no
Thorn,H3,5,YES,no,no,27,25,32,24,25,no,no
Trier,A6,6,YES,no,no,33,24,25,28,28,YES,YES
Ulm,C7,7,YES,no,no,28,31,26,28,28,YES,YES
Vordingborg,D1,3,no,no,21,no,no,no,21,21,no,YES
Wien,G8,6,YES,YES,no,35,27,25,35,30,YES,YES
Wesel,A4,4,no,no,24,no,no,no,25,25,no,YES
Wismar,D2,4,no,no,no,24,26,22,24,23,no,YES
Wittenberg,E4,5,no,YES,no,25,25,25,25,25,no,YES
Worms,B6,6,YES,no,no,27,26,24,33,29,YES,YES
Würzburg,C6,5,YES,YES,24,no,32,no,25,25,no,no
Xanten,A4,5,YES,no,no,24,24,23,26,32,YES,no
Zürich,B8,5,YES,no,no,26,25,29,32,24,YES,YES
Zwolle,A3,3,no,no,23,no,no,no,25,36,no,no
